Latitude,Longitude,FullWaitTime,WaitingCount,MooredCount,type,built,dwt,loa,beam,draughtMeters
-20.15315,118.52011670000002,40.03111111,42,20,3,2016,8825,122.2,19.8,7.2
-20.06993667,118.63476670000001,183.96805559999999,25,21,3,2016,8825,122.2,19.8,7.2
-20.12798667,118.52481829999999,23.95888889,31,38,3,2011,8499,112.21,19.0,7.6
-20.12695833,118.52551170000001,24.01194444,23,36,3,2011,8473,112.21,19.0,7.6
-20.12133333,118.6214867,47.98666667,38,29,3,2011,8499,112.21,19.0,7.6
-20.09469667,118.62853,72.04277778,27,30,3,2012,8460,112.21,19.0,7.6
-20.109525,118.607345,88.04,38,28,3,2011,8499,112.21,19.0,7.6
-20.108005,118.56535330000001,96.02527778,26,38,3,2011,8473,112.21,19.0,7.6
-20.08177333,118.61713,41.18055556,25,32,1,2005,18828,139.92,25.0,8.44
-20.08923333,118.5277567,136.00416669999998,23,27,1,2010,31776,177.5,28.2,9.5
-20.15133333,118.54140829999999,8.001388889,27,34,1,2012,32070,175.53,29.4,9.62
-20.11935667,118.57677,16.00805556,26,22,3,2011,17294,142.92,21.5,9.69
-20.12015833,118.54095670000001,55.96805556,28,29,1,2013,29065,170.0,27.0,9.72
-20.08168333,118.51403329999998,95.98666667,39,10,1,2003,29738,170.7,27.0,9.72
-20.10847333,118.5139267,72.01,38,40,1,2013,24377,158.6,25.0,9.8
-20.12906333,118.5233867,224.01166669999998,30,26,1,2012,24377,158.6,25.0,9.8
-20.11606667,118.5227183,15.97111111,32,25,1,2011,28228,169.37,27.2,9.82
-20.10696667,118.58215,15.98694444,36,16,1,2008,28333,169.37,27.2,9.82
-20.10958333,118.63028329999999,15.99166667,40,11,1,2009,28336,169.37,27.2,9.82
-20.08132333,118.513425,23.96194444,16,24,3,2013,27930,169.36,27.2,9.82
-20.09023333,118.52548329999999,23.9975,39,29,1,2010,28201,169.37,27.2,9.82
-20.10072667,118.5228683,31.96305556,41,21,1,2012,28236,169.37,27.2,9.82
-20.10648333,118.564875,32.06944444,24,33,1,2011,28253,169.37,27.2,9.82
-20.11553167,118.527575,72.0025,35,25,1,2016,34376,179.96,30.0,9.82
-20.10215333,118.52571,79.95944444,17,26,1,2016,34874,179.96,30.0,9.82
-20.12196667,118.50593329999998,79.98972222,38,21,1,2009,28321,169.37,27.2,9.82
-20.12185333,118.50957,104.00111109999999,19,24,1,2012,28236,169.37,27.2,9.82
-20.13027167,118.5239733,127.97583329999999,27,32,1,2012,28198,169.37,27.2,9.82
-20.12328333,118.58056670000002,127.98694440000001,29,32,1,2012,28198,169.37,27.2,9.82
-20.109125,118.56521000000001,15.93305556,24,20,3,2017,17625,130.94,23.0,9.92
-20.126945000000003,118.52182830000001,40.15888889,26,23,3,2017,17625,130.94,23.0,9.92
-20.07536667,118.52488170000001,24.00861111,22,30,3,2014,32723,179.84,28.4,10.0
-20.13812167,118.51418170000001,56.01222222,27,26,3,2011,33671,179.95,28.2,10.0
-20.11465333,118.52866329999999,111.9838889,21,30,1,2013,31963,176.55,27.0,10.0
-20.122495,118.6314933,9.341111111,26,27,3,2010,32280,177.0,28.4,10.02
-20.12181333,118.57968170000001,96.01666667,30,38,1,2004,32564,177.0,28.4,10.02
-20.1202,118.51173329999999,104.01388890000001,15,29,3,2009,32226,177.13,28.46,10.02
-20.15187167,118.540075,8.029722222,21,41,3,2012,33175,177.0,28.6,10.03
-20.1392,118.53945,15.98,18,29,3,2015,33117,179.93,28.4,10.03
-20.12054833,118.603935,16.0375,25,27,3,2015,33117,179.93,28.4,10.03
-20.138135000000002,118.51633000000001,15.99833333,27,28,1,2009,29256,169.99,27.0,10.06
-20.13757833,118.51118829999999,63.98305556,25,19,1,2014,34845,179.94,30.0,10.12
-20.08607333,118.52153670000001,8.117222222,20,27,1,2010,32635,179.9,28.4,10.15
-20.13594833,118.54033829999999,24.01972222,24,31,1,2009,32949,179.9,28.4,10.15
-20.129275,118.52968670000001,40.00027778,21,27,1,2010,32493,179.9,28.4,10.15
-20.12169,118.5912783,296.0116667,26,33,1,2009,32949,179.9,28.4,10.15
-20.08040167,118.5899533,96.00722222,23,28,1,2010,32581,179.9,28.4,10.17
-20.12567333,118.5913117,7.979166667,26,23,1,2016,36844,183.0,29.5,10.37
-20.08718333,118.52491670000002,8.000833333,32,22,3,2009,31612,171.6,27.0,10.42
-20.12945,118.52381670000001,16.00722222,23,23,1,2011,35009,175.6,28.4,10.42
-20.09515,118.60826670000002,71.99277778,22,25,3,2010,31755,171.6,27.0,10.42
-20.09585333,118.5887517,15.985,39,13,1,2017,38868,182.0,30.0,10.5
-20.123425,118.53829329999999,63.99305556,26,26,1,2014,38190,179.97,29.8,10.5
-20.106825,118.5952233,151.9597222,28,14,1,2012,37140,189.99,28.31,10.5
-20.07503167,118.5267933,183.9711111,38,24,1,2012,38109,179.97,29.8,10.5
-20.13579333,118.537015,7.9925,15,29,1,2017,38852,182.0,30.0,10.52
-20.15369667,118.54003329999999,24.01722222,21,33,1,2017,38805,182.0,30.0,10.52
-20.15476167,118.53674,8.023333333,30,26,1,2018,37802,179.93,30.0,10.53
-20.12395,118.5392883,15.98,24,25,3,2015,39000,179.9,30.0,10.6
-20.137195000000002,118.53982169999999,55.975,25,31,3,2012,33644,171.93,28.0,10.62
-20.147454999999997,118.539345,8.008333333,17,29,1,2014,40481,179.99,30.0,10.7
-20.11420333,118.5234567,40.11083333,31,23,1,2016,39765,179.99,30.0,10.7
-20.13352833,118.51068000000001,63.975,24,27,1,2016,39765,179.99,30.0,10.7
-20.13600667,118.53868329999999,95.96444444,28,28,1,2012,36378,176.5,28.8,10.72
-20.08425833,118.51287669999999,63.99861111,16,30,3,2014,36936,177.8,28.6,10.85
-20.12119333,118.606445,95.97888889,26,20,3,2013,37119,177.85,28.6,10.85
-20.12939833,118.5278267,184.00555559999998,26,27,3,2013,37115,177.8,28.6,10.85
-20.088535,118.52839499999999,80.03555556,23,32,3,2014,37072,177.85,28.6,10.87
-20.09675833,118.56516670000002,72.05861111,22,37,3,2012,45945,181.54,32.2,10.9
-20.13798167,118.513975,95.97777778,32,20,3,2012,45945,181.54,32.2,10.9
-20.13578667,118.5114767,7.972777777999999,26,23,3,2017,50239,183.2,32.26,11.0
-20.13490333,118.5113217,72.01833333,22,24,3,2018,49940,183.2,32.26,11.0
-20.13785167,118.5143783,72.02694444,28,29,3,2018,49948,183.2,32.26,11.0
-20.08762,118.52672,80.01361111,23,31,3,2017,50239,183.2,32.26,11.0
-20.08016667,118.5771667,15.98916667,39,26,3,2007,40083,175.98,31.0,11.11
-20.11783333,118.50933329999998,55.73527778,18,23,3,2007,40083,175.98,31.0,11.11
-20.11916667,118.58933329999999,152.0333333,24,30,3,2007,40083,175.98,31.0,11.11
-20.13733333,118.51433329999999,183.9763889,14,25,3,2007,40083,175.98,31.0,11.11
-20.12629167,118.5251717,72.04111111,33,29,3,2008,45800,184.95,32.2,12.0
-20.15412167,118.51933500000001,56.00861111,35,30,3,2009,45902,179.88,32.23,12.07
-20.1349,118.5087,7.965833333,21,38,3,2009,45634,179.8,32.23,12.12
-20.130205,118.52228000000001,55.99444444,34,36,3,2004,45718,179.8,32.2,12.12
-20.15580833,118.52277,104.0205556,19,32,3,2004,45718,179.8,32.2,12.12
-20.13455,118.53771670000002,128.01722220000002,23,26,3,2009,45634,179.8,32.23,12.12
-20.13630167,118.5127867,7.975,37,27,3,2011,45931,181.53,32.2,12.17
-20.14990667,118.53841670000001,8.004166667,34,16,3,2012,45950,181.54,32.2,12.17
-20.13579333,118.53553500000001,15.985,14,27,3,2011,45996,181.54,32.2,12.17
-20.13493167,118.50835670000001,15.99222222,18,24,3,2011,45996,181.54,32.2,12.17
-20.151135,118.5221517,16.01861111,35,38,3,2011,45996,181.54,32.2,12.17
-20.13557667,118.5387817,24.00444444,35,24,3,2012,45950,181.54,32.2,12.17
-20.14970167,118.53770829999999,32.01138889,42,22,3,2011,45996,181.54,32.2,12.17
-20.13666667,118.5423317,32.03416667,17,23,3,2011,45931,181.53,32.2,12.17
-20.13403833,118.50852830000001,56.03638889,26,32,3,2011,45931,181.53,32.2,12.17
-20.12746667,118.5262467,143.9588889,16,29,3,2012,45950,181.54,32.2,12.17
-20.07425,118.52344,8.015833333,29,30,3,2017,45500,183.06,32.2,12.32
-20.13488,118.5396267,24.01166667,21,26,3,2017,45999,183.06,32.2,12.32
-20.13708333,118.51525330000001,104.23527779999999,33,27,3,2017,45999,183.06,32.2,12.32
-20.108975,118.5811733,112.2975,40,21,3,2017,45500,183.06,32.2,12.32
-20.118985000000002,118.57832830000001,8.005,13,20,1,2015,55404,189.9,32.26,12.5
