Latitude,Longitude,FullWaitTime,WaitingCount,MooredCount,type,built,dwt,loa,beam,draughtMeters
-20.11953833,118.5364133,7.956388889,16,26,1,2014,207811,300,50,18.2
-20.10988167,118.5682,7.96,19,31,1,2011,206565,299.7,50,18.23
-20.152,118.5418333,7.960555556,23,23,2,2012,228783,324.99,52.5,18.1
-20.08427667,118.6173283,7.960555556,38,35,1,2016,206752,300,50,18.59
-20.11089333,118.539655,7.963055556,22,26,1,2009,177974,292,45,18.3
-20.138555,118.5352617,7.964166667,14,27,1,2016,180940,292,45,18.3
-20.080235,118.5516267,7.965,38,21,2,2017,261761,326.9,57,18.8
-20.1349,118.5087,7.965833333,21,38,3,2009,45634,179.8,32.23,12.12
-20.15175833,118.5346767,7.965833333,25,32,1,2014,175656,291.8,45,18.25
-20.119915,118.5371083,7.966111111,17,29,2,2012,228749,324.99,52.5,18.1
-20.12313833,118.535805,7.966666667,21,27,1,2015,207219,299.94,50,18.27
-20.08805,118.5283,7.9675,32,28,1,2009,179147,292,45,18.22
-20.13578667,118.5114767,7.972777778,26,23,3,2017,50239,183.2,32.26,11
-20.08666667,118.5270167,7.972777778,27,29,1,2010,175858,291.8,45,18.25
-20.069735,118.6054483,7.974166667,17,29,2,2018,261052,327,57,18.8
-20.13719333,118.5343033,7.974722222,27,30,1,2011,176296,292,45,18.32
-20.13630167,118.5127867,7.975,37,27,3,2011,45931,181.53,32.2,12.17
-20.10546667,118.5428533,7.976111111,25,24,1,2013,180000,295,46,18.1
-20.13676667,118.542985,7.976666667,17,29,1,2012,107236,254.99,43,13.4
-20.12296,118.560455,7.977222222,13,18,1,2012,207867,300,50,18.22
-20.11877333,118.5400417,7.977777778,15,29,1,2008,177720,292,45,18.3
-20.10667833,118.568395,7.978611111,15,21,1,2013,206010,299.92,50,18.4
-20.12567333,118.5913117,7.979166667,26,23,1,2016,36844,183,29.5,10.37
-20.13853333,118.5381117,7.979166667,23,27,1,2016,180940,292,45,18.3
-20.06890833,118.6024367,7.979444444,15,28,1,2012,180643,291.9,45,18.07
-20.10605667,118.5067633,7.979444444,31,30,1,2018,209240,299.95,50,18.4
-20.087615,118.5283667,7.979722222,35,28,1,2013,180694,291.9,45,18.07
-20.083335,118.5827433,7.98,19,22,1,2013,206378,299.7,50,18.23
-20.15077333,118.5213767,7.98,31,34,2,2018,261064,327,57,18.8
-20.10728333,118.6067617,7.9825,20,41,1,2007,203198,299.95,50,17.91
-20.12318667,118.5428483,7.9825,14,25,1,2017,207672,299.88,50,18.5
