Imo,RecievedTime,Latitude,Longitude,NavStatus,FullWaitTime,WaitingCount,MooredCount,type,built,dwt,loa,beam,holdsTotal,hatchesToNo,draughtMeters
9516533,2019-07-10 23:59:51+00:00,-20.11953833,118.5364133,1,7.956388889,16,26,Bulk Carrier,2014,207811,300,50,9,9,18.2
9479228,2019-11-09 23:59:25+00:00,-20.10988167,118.5682,1,7.96,19,31,Bulk Carrier,2011,206565,299.7,50,9,9,18.23
9445318,2019-11-22 23:59:59+00:00,-20.152,118.5418333,1,7.960555556,23,23,Ore Carrier,2012,228783,324.99,52.5,5,5,18.1
9723904,2019-10-19 07:59:34+00:00,-20.08427667,118.6173283,1,7.960555556,38,35,Bulk Carrier,2016,206752,300,50,9,9,18.59
9397743,2019-12-21 07:59:47+00:00,-20.11089333,118.539655,1,7.963055556,22,26,Bulk Carrier,2009,177974,292,45,9,9,18.3
9702687,2019-09-10 23:59:46+00:00,-20.138555,118.5352617,0,7.964166667,14,27,Bulk Carrier,2016,180940,292,45,9,9,18.3
9744398,2019-04-28 23:59:49+00:00,-20.080235,118.5516267,1,7.965,38,21,Ore Carrier,2017,261761,326.9,57,5,9,18.8
9409493,2019-10-29 07:59:06+00:00,-20.1349,118.5087,1,7.965833333,21,38,Product Carrier,2009,45634,179.8,32.23,,,12.12
9567087,2019-06-01 07:59:44+00:00,-20.15175833,118.5346767,1,7.965833333,25,32,Bulk Carrier,2014,175656,291.8,45,9,9,18.25
9474034,2019-07-11 23:59:32+00:00,-20.119915,118.5371083,0,7.966111111,17,29,Ore Carrier,2012,228749,324.99,52.5,5,5,18.1
9727352,2019-08-09 07:59:10+00:00,-20.12313833,118.535805,1,7.966666667,21,27,Bulk Carrier,2015,207219,299.94,50,9,9,18.27
9501851,2019-04-30 07:58:26+00:00,-20.08805,118.5283,1,7.9675,32,28,Bulk Carrier,2009,179147,292,45,9,9,18.22
9568067,2020-01-11 15:59:49+00:00,-20.08666667,118.5270167,0,7.972777778,27,29,Bulk Carrier,2010,175858,291.8,45,9,9,18.25
9747118,2019-08-22 07:59:14+00:00,-20.13578667,118.5114767,1,7.972777778,26,23,Chemical & Oil Carrier,2017,50239,183.2,32.26,,,11
9753583,2019-12-12 23:59:01+00:00,-20.069735,118.6054483,1,7.974166667,17,29,Ore Carrier,2018,261052,327,57,5,9,18.8
9462811,2019-05-28 23:59:18+00:00,-20.13719333,118.5343033,1,7.974722222,27,30,Bulk Carrier,2011,176296,292,45,9,9,18.32
9459266,2020-01-27 15:59:00+00:00,-20.13630167,118.5127867,1,7.975,37,27,Product Carrier,2011,45931,181.53,32.2,,,12.17
