,Unnamed: 0,Imo,RecievedTime,Latitude,Longitude,NavStatus,FullWaitTime,UnderwayCount,WaitingCount,MooredCount,OtherCount,FinishedCount,name,type,built,dwt,loa,beam,status,flagState,holdsTotal,hatchesToNo,shipBuilder,shipBuilderCountry,draughtMeters,lastHullSurveyDate,hullSurveyDueDate
0,0,9220201,2019-06-21 23:59:11+00:00,-20.081883333333334,118.61506666666666,1,0 days 16:00:13.000000000,70,36,27,0,700,SAMC Eddie,Bulk Carrier,2002,175775,289.03,45.0,In Service,Panama,9.0,9.0,CSBC (Kaohsiung),Taiwan,17.78,,
1,1,9220213,2019-05-24 07:57:46+00:00,-20.15035,118.53699333333331,1,0 days 08:02:04.000000000,53,33,30,0,454,Newcastle Express,Bulk Carrier,2002,175775,289.0,45.0,In Service,Hong Kong,9.0,9.0,CSBC (Kaohsiung),Taiwan,17.78,,
2,2,9220225,2019-04-21 07:59:35+00:00,-20.10705,118.588475,1,12 days 23:58:57.000000000,29,39,21,0,198,China Steel Integrity,Bulk Carrier,2002,175775,289.0,45.0,Idle,Panama,9.0,9.0,CSBC (Kaohsiung),Taiwan,17.78,10/30/2017,10/31/2022
3,3,9220237,2020-02-01 07:58:15+00:00,-20.121125,118.58431166666666,1,15 days 00:01:25.000000000,34,37,26,0,2433,China Steel Responsibility,Bulk Carrier,2003,175775,289.0,45.0,In Service,Panama,9.0,9.0,CSBC (Kaohsiung),Taiwan,17.78,11/11/2017,1/29/2023
4,4,9267089,2020-01-02 23:59:39+00:00,-20.095766666666666,118.6075,1,42 days 15:58:39.000000000,62,22,27,0,2224,Cook Strait,Bulk Carrier,2004,31894,175.53,29.4,In Service,Hong Kong,5.0,5.0,Hakodate Dock,Japan,9.64,09/09/2019,08/04/2024
5,5,9268473,2019-06-18 07:57:48+00:00,-20.085116666666668,118.52076666666666,1,5 days 08:02:00.000000000,69,34,31,0,666,Aigaion,Bulk Carrier,2004,170081,288.97,44.98,In Service,Greece,9.0,9.0,Hyundai Samho HI,South Korea,17.9,5/29/2019,04/01/2024
6,6,9268796,2019-04-12 23:59:11+00:00,-20.082933333333333,118.51058333333332,1,16 days 23:58:58.000000000,22,26,19,0,128,Cape Mars,Bulk Carrier,2003,175882,289.0,45.0,Idle,Singapore,9.0,9.0,CSBC (Kaohsiung),Taiwan,17.78,7/30/2018,07/10/2023
7,7,9269063,2019-06-09 23:59:17+00:00,-20.0809,118.61421666666666,1,2 days 15:59:07.000000000,64,28,29,0,597,Berge Weisshorn,Bulk Carrier,2004,171075,288.88,45.0,In Service,Isle of Man,9.0,9.0,Hyundai HI (Ulsan),South Korea,17.72,5/30/2019,01/06/2024
8,8,9271559,2019-03-28 07:58:40+00:00,-20.120685,118.56964166666668,1,9 days 00:00:33.000000000,2,26,13,0,5,Cape Kori,Bulk Carrier,2004,203277,299.95,50.0,In Service,Liberia,9.0,9.0,Universal SB Ariake,Japan,17.91,05/05/2017,05/04/2022
9,9,9271559,2019-05-12 23:55:48+00:00,-20.081631666666667,118.57395,1,7 days 08:02:00.000000000,48,22,21,0,369,Cape Kori,Bulk Carrier,2004,203277,299.95,50.0,In Service,Liberia,9.0,9.0,Universal SB Ariake,Japan,17.91,05/05/2017,05/04/2022
10,10,9271597,2019-06-14 07:51:11+00:00,-20.067921666666667,118.566315,1,2 days 16:06:29.000000000,68,22,31,0,631,Shin Onoe,Bulk Carrier,2004,203248,299.95,50.0,In Service,Japan,9.0,9.0,Universal SB (Tsu),Japan,17.91,08/02/2019,8/18/2024
11,11,9271597,2019-10-03 23:58:14+00:00,-20.076905,118.512285,1,1 days 00:01:37.000000000,68,37,32,0,1507,Shin Onoe,Bulk Carrier,2004,203248,299.95,50.0,In Service,Japan,9.0,9.0,Universal SB (Tsu),Japan,17.91,08/02/2019,8/18/2024
12,12,9271638,2019-08-30 15:58:10+00:00,-20.106783333333333,118.63435,1,1 days 00:01:21.000000000,66,17,29,0,1246,Sea Coen,Bulk Carrier,2005,176269,289.0,45.0,In Service,Marshall Is.,9.0,9.0,Universal SB (Tsu),Japan,17.85,07/01/2020,08/08/2025
13,13,9273985,2019-04-23 15:59:30+00:00,-20.129333333333328,118.53205,0,9 days 15:58:37.000000000,31,44,20,0,214,Berge Dinara,Bulk Carrier,2005,203163,299.95,50.0,In Service,Liberia,9.0,9.0,Universal SB (Tsu),Japan,17.91,05/12/2017,6/28/2022
