,Imo,RecievedTime,Latitude,Longitude,NavStatus,Status
3593,9220201, 2019-06-21T23:59:11Z,-20.081883333333334,118.61506666666666,1, anchorage
3594,9220201, 2019-06-22T07:56:24Z,-20.081333333333333,118.61495,1, anchorage
3595,9220201, 2019-06-22T15:59:24Z,-20.327083333333334,118.56733333333334,5, moored
3596,9220201, 2019-06-22T23:59:40Z,-20.327083333333334,118.56733333333334,5, moored
3597,9220201, 2019-06-23T07:59:53Z,-20.327083333333334,118.56731666666668,5, moored
3598,9220201, 2019-06-23T15:57:06Z,-20.327066666666667,118.56735,5, moored
3599,9220201, 2019-06-23T23:57:21Z,-20.32705,118.56733333333334,5, moored
3653,9220213, 2019-05-23T23:57:45Z,-20.09365333333333,118.54983666666666,0, moving
3654,9220213, 2019-05-24T07:57:46Z,-20.15035,118.53699333333331,1, anchorage
3655,9220213, 2019-05-24T15:59:50Z,-20.329595,118.565445,5, moored
3656,9220213, 2019-05-24T23:57:05Z,-20.329523333333334,118.56543,5, moored
3657,9220213, 2019-05-25T07:57:18Z,-20.329555,118.56540166666667,5, moored
3658,9220213, 2019-05-25T15:57:32Z,-20.329553333333333,118.565455,5, moored
3818,9220225, 2019-04-21T07:59:35Z,-20.10705,118.588475,1, anchorage
3819,9220225, 2019-04-21T15:59:49Z,-20.107075,118.58860666666666,1, anchorage
3820,9220225, 2019-04-21T23:51:03Z,-20.108106666666668,118.58849166666668,1, anchorage
3821,9220225, 2019-04-22T07:57:17Z,-20.106904999999998,118.58871,1, anchorage
3822,9220225, 2019-04-22T15:57:31Z,-20.108601666666665,118.59343,1, anchorage
3823,9220225, 2019-04-22T23:51:45Z,-20.10802333333333,118.588325,1, anchorage
3824,9220225, 2019-04-23T07:57:59Z,-20.10725,118.58883833333331,1, anchorage
3825,9220225, 2019-04-23T15:58:13Z,-20.109085,118.59356666666666,1, anchorage
3826,9220225, 2019-04-23T23:58:27Z,-20.107558333333333,118.58846166666666,1, anchorage
3827,9220225, 2019-04-24T07:58:41Z,-20.108981666666665,118.58813166666668,1, anchorage
3828,9220225, 2019-04-24T15:58:55Z,-20.109751666666668,118.59311000000001,1, anchorage
3829,9220225, 2019-04-24T23:59:09Z,-20.107335,118.58847833333333,1, anchorage
3830,9220225, 2019-04-25T07:59:23Z,-20.10829,118.58854666666667,1, anchorage
3831,9220225, 2019-04-25T15:56:37Z,-20.109061666666666,118.59323333333332,1, anchorage
3832,9220225, 2019-04-25T23:59:51Z,-20.107653333333328,118.58818333333332,1, anchorage
3833,9220225, 2019-04-26T07:57:05Z,-20.109336666666668,118.58829666666666,1, anchorage
3834,9220225, 2019-04-26T15:57:19Z,-20.107278333333333,118.58841333333334,1, anchorage
3835,9220225, 2019-04-26T23:57:34Z,-20.107235,118.58832333333334,1, anchorage
3836,9220225, 2019-04-27T07:57:47Z,-20.110151666666667,118.58870833333332,1, anchorage
3837,9220225, 2019-04-27T15:58:01Z,-20.108553333333333,118.58834499999999,1, anchorage
3838,9220225, 2019-04-27T23:58:15Z,-20.10728333333333,118.58831166666668,1, anchorage
3839,9220225, 2019-04-28T07:58:28Z,-20.11055,118.58929833333332,1, anchorage
3840,9220225, 2019-04-28T15:58:43Z,-20.106720000000003,118.58934166666668,1, anchorage
3841,9220225, 2019-04-28T23:58:57Z,-20.106393333333333,118.58932666666666,1, anchorage
3842,9220225, 2019-04-29T07:59:11Z,-20.110513333333333,118.59220833333332,1, anchorage
3843,9220225, 2019-04-29T15:59:25Z,-20.107501666666668,118.59276833333334,1, anchorage
3844,9220225, 2019-04-29T23:59:39Z,-20.108060000000002,118.59376833333332,1, anchorage
3845,9220225, 2019-04-30T07:59:53Z,-20.109425,118.59376333333331,1, anchorage
3846,9220225, 2019-04-30T15:57:07Z,-20.106896666666668,118.59281000000001,1, anchorage
3847,9220225, 2019-04-30T23:54:22Z,-20.107493333333334,118.58827333333332,1, anchorage
3848,9220225, 2019-05-01T07:57:35Z,-20.110336666666665,118.58908999999998,1, anchorage
3849,9220225, 2019-05-01T15:57:49Z,-20.106401666666667,118.58948666666667,1, anchorage
3850,9220225, 2019-05-01T23:58:03Z,-20.107376666666667,118.5883,1, anchorage
3851,9220225, 2019-05-02T07:58:17Z,-20.109961666666667,118.58874666666668,1, anchorage
3852,9220225, 2019-05-02T15:58:31Z,-20.10636833333333,118.58962,1, anchorage
3853,9220225, 2019-05-02T23:58:45Z,-20.109865,118.58967,1, anchorage
3854,9220225, 2019-05-03T07:52:59Z,-20.10964833333333,118.58837166666666,1, anchorage
3855,9220225, 2019-05-03T15:59:13Z,-20.106360000000002,118.59153666666668,1, anchorage
3856,9220225, 2019-05-03T23:59:40Z,-20.112708333333334,118.55587333333334,0, moving
3857,9220225, 2019-05-04T07:58:32Z,-20.327068333333333,118.56731166666668,5, moored
3858,9220225, 2019-05-04T15:58:46Z,-20.327068333333333,118.56730333333331,5, moored
3859,9220225, 2019-05-04T23:59:00Z,-20.32706333333333,118.56733333333334,5, moored
3860,9220225, 2019-05-05T07:59:14Z,-20.327051666666666,118.56733333333334,5, moored
4033,9220237, 2020-02-01T07:58:15Z,-20.121125,118.58431166666666,1, anchorage
4034,9220237, 2020-02-01T15:58:21Z,-20.12121,118.58438166666667,1, anchorage
4035,9220237, 2020-02-01T23:58:20Z,-20.119501666666668,118.58404666666668,1, anchorage
4036,9220237, 2020-02-02T07:58:24Z,-20.121541666666666,118.58408333333334,1, anchorage
4037,9220237, 2020-02-02T15:58:17Z,-20.120723333333334,118.58436666666668,1, anchorage
4038,9220237, 2020-02-02T23:58:26Z,-20.11883333333333,118.583475,1, anchorage
4039,9220237, 2020-02-03T07:58:25Z,-20.12161333333333,118.58420833333334,1, anchorage
4040,9220237, 2020-02-03T15:58:31Z,-20.119846666666668,118.584245,1, anchorage
4041,9220237, 2020-02-03T23:58:35Z,-20.118043333333333,118.58091,1, anchorage
4042,9220237, 2020-02-04T07:58:31Z,-20.122120000000002,118.58392666666668,1, anchorage
4043,9220237, 2020-02-04T15:58:31Z,-20.11916833333333,118.58395666666668,1, anchorage
4044,9220237, 2020-02-04T23:58:39Z,-20.118628333333334,118.57858166666666,1, anchorage
4045,9220237, 2020-02-05T07:58:46Z,-20.121095,118.58324499999999,1, anchorage
4046,9220237, 2020-02-05T15:58:41Z,-20.118121666666667,118.58301666666668,1, anchorage
4047,9220237, 2020-02-05T23:58:44Z,-20.119371666666666,118.57831499999999,1, anchorage
4048,9220237, 2020-02-06T07:58:44Z,-20.12253833333333,118.57854499999999,1, anchorage
4049,9220237, 2020-02-06T15:58:48Z,-20.12337833333333,118.575425,1, anchorage
4058,9220237, 2020-02-09T15:58:27Z,-20.112438333333333,118.60702833333332,1, anchorage
4059,9220237, 2020-02-09T23:58:26Z,-20.112481666666667,118.60716000000001,1, anchorage
4060,9220237, 2020-02-10T07:58:27Z,-20.10926,118.60492833333332,1, anchorage
4061,9220237, 2020-02-10T15:58:33Z,-20.111141666666665,118.607425,1, anchorage
4062,9220237, 2020-02-10T23:58:32Z,-20.112556666666666,118.606885,1, anchorage
4063,9220237, 2020-02-11T07:58:37Z,-20.10911,118.60341166666667,1, anchorage
4064,9220237, 2020-02-11T15:58:36Z,-20.11185,118.60728333333331,1, anchorage
4065,9220237, 2020-02-11T23:58:40Z,-20.111629999999998,118.60733166666668,1, anchorage
4066,9220237, 2020-02-12T07:58:39Z,-20.10964833333333,118.60548833333333,1, anchorage
4067,9220237, 2020-02-12T15:58:45Z,-20.11167,118.60740833333334,1, anchorage
4068,9220237, 2020-02-12T23:58:48Z,-20.11231,118.60727666666666,1, anchorage
4069,9220237, 2020-02-13T07:58:49Z,-20.110021666666672,118.60676166666669,1, anchorage
4070,9220237, 2020-02-13T15:58:52Z,-20.111836666666665,118.60734666666669,1, anchorage
4071,9220237, 2020-02-13T23:58:50Z,-20.110666666666667,118.60171166666667,1, anchorage
4072,9220237, 2020-02-14T07:58:49Z,-20.110851666666665,118.60704833333334,1, anchorage
4073,9220237, 2020-02-14T15:58:53Z,-20.112354999999997,118.606825,1, anchorage
4074,9220237, 2020-02-14T23:58:57Z,-20.10956833333333,118.60490833333333,1, anchorage
4075,9220237, 2020-02-15T07:59:01Z,-20.11181833333333,118.60700333333334,1, anchorage
4076,9220237, 2020-02-15T15:59:02Z,-20.112426666666668,118.60654833333334,1, anchorage
4077,9220237, 2020-02-15T23:58:54Z,-20.116211666666672,118.59723999999999,0, moving
4078,9220237, 2020-02-16T07:59:40Z,-20.329591666666666,118.565395,5, moored
4079,9220237, 2020-02-16T15:59:43Z,-20.329585,118.56540833333334,5, moored
4080,9220237, 2020-02-16T23:59:51Z,-20.329615,118.56543,5, moored
4081,9220237, 2020-02-17T07:59:53Z,-20.329598333333333,118.56542166666668,5, moored
4082,9220237, 2020-02-17T09:08:53Z,-20.329566666666672,118.56541166666666,5, moored
9251,9267089, 2020-01-02T23:59:39Z,-20.095766666666666,118.6075,1, anchorage
9252,9267089, 2020-01-03T07:59:27Z,-20.055316666666666,118.62046666666667,0, moving
9296,9267089, 2020-02-11T23:59:53Z,-20.101965,118.52835166666668,1, anchorage
9297,9267089, 2020-02-12T07:59:52Z,-20.101523333333333,118.52734666666667,1, anchorage
9298,9267089, 2020-02-12T15:59:50Z,-20.103518333333334,118.52819333333332,1, anchorage
9299,9267089, 2020-02-12T23:59:50Z,-20.10314,118.52841000000001,1, anchorage
9300,9267089, 2020-02-13T07:59:51Z,-20.10216833333333,118.52825833333333,1, anchorage
9301,9267089, 2020-02-13T15:56:49Z,-20.10285,118.52861999999999,1, anchorage
9302,9267089, 2020-02-13T23:56:49Z,-20.103833333333334,118.525025,1, anchorage
9303,9267089, 2020-02-14T07:59:50Z,-20.10226833333333,118.52805166666668,1, anchorage
9304,9267089, 2020-02-14T15:58:18Z,-20.318245,118.575235,5, moored
9305,9267089, 2020-02-14T23:58:21Z,-20.318241666666665,118.5752,5, moored
9306,9267089, 2020-02-15T07:58:20Z,-20.318251666666665,118.57521666666666,5, moored
9307,9267089, 2020-02-15T15:58:19Z,-20.318266666666666,118.57523333333332,5, moored
9308,9267089, 2020-02-15T23:58:19Z,-20.31824333333333,118.57520333333332,5, moored
9421,9268473, 2019-06-18T07:57:48Z,-20.085116666666668,118.52076666666666,1, anchorage
9422,9268473, 2019-06-18T15:57:49Z,-20.085183333333333,118.52491666666668,1, anchorage
9423,9268473, 2019-06-18T23:57:48Z,-20.088716666666667,118.52423333333331,1, anchorage
9424,9268473, 2019-06-19T07:57:47Z,-20.08455,118.52128333333332,1, anchorage
9425,9268473, 2019-06-19T15:57:50Z,-20.0888,118.52495,1, anchorage
9426,9268473, 2019-06-19T23:57:52Z,-20.088933333333333,118.52281666666669,1, anchorage
9427,9268473, 2019-06-20T07:57:48Z,-20.085633333333334,118.52055,1, anchorage
9428,9268473, 2019-06-20T15:57:48Z,-20.0901,118.52395,1, anchorage
9429,9268473, 2019-06-20T23:57:49Z,-20.08795,118.52041666666666,1, anchorage
9430,9268473, 2019-06-21T07:57:49Z,-20.08558333333333,118.5217,1, anchorage
9431,9268473, 2019-06-21T15:57:51Z,-20.086016666666666,118.52486666666668,1, anchorage
9432,9268473, 2019-06-21T23:57:48Z,-20.088216666666668,118.51991666666666,1, anchorage
9433,9268473, 2019-06-22T07:57:47Z,-20.087416666666666,118.51981666666669,1, anchorage
9434,9268473, 2019-06-22T15:57:57Z,-20.089683333333333,118.52398333333332,1, anchorage
9435,9268473, 2019-06-22T23:57:51Z,-20.08825,118.52001666666666,1, anchorage
9436,9268473, 2019-06-23T07:59:29Z,-20.17888333333333,118.54973333333334,0, moving
9437,9268473, 2019-06-23T15:59:48Z,-20.3098,118.57026666666668,5, moored
9438,9268473, 2019-06-23T23:59:49Z,-20.309816666666666,118.57026666666668,5, moored
9439,9268473, 2019-06-24T07:59:47Z,-20.3098,118.57035,5, moored
9440,9268473, 2019-06-24T15:59:50Z,-20.30975,118.57023333333332,5, moored
9762,9268796, 2019-04-12T15:59:20Z,-20.070983333333334,118.53246666666666,0, moving
9763,9268796, 2019-04-12T23:59:11Z,-20.082933333333333,118.51058333333332,1, anchorage
9764,9268796, 2019-04-13T07:56:11Z,-20.083766666666666,118.51401666666666,1, anchorage
9765,9268796, 2019-04-13T15:59:11Z,-20.083366666666667,118.51483333333331,1, anchorage
9766,9268796, 2019-04-13T23:56:11Z,-20.08098333333333,118.51526666666666,1, anchorage
9767,9268796, 2019-04-14T07:59:13Z,-20.0821,118.51546666666668,1, anchorage
9768,9268796, 2019-04-14T15:59:12Z,-20.081616666666665,118.5156,1, anchorage
9769,9268796, 2019-04-14T23:53:12Z,-20.0821,118.51553333333334,1, anchorage
9770,9268796, 2019-04-15T07:59:11Z,-20.08173333333333,118.51566666666666,1, anchorage
9771,9268796, 2019-04-15T15:50:11Z,-20.08173333333333,118.51561666666667,1, anchorage
9772,9268796, 2019-04-15T23:47:11Z,-20.081766666666667,118.51565,1, anchorage
9773,9268796, 2019-04-16T07:59:11Z,-20.081566666666667,118.51566666666666,1, anchorage
9774,9268796, 2019-04-16T15:59:11Z,-20.07975,118.51446666666666,1, anchorage
9775,9268796, 2019-04-16T23:53:12Z,-20.08155,118.51561666666667,1, anchorage
9776,9268796, 2019-04-17T07:59:11Z,-20.0798,118.51473333333334,1, anchorage
9777,9268796, 2019-04-17T15:59:11Z,-20.079183333333333,118.51351666666666,1, anchorage
9778,9268796, 2019-04-17T23:59:11Z,-20.081016666666667,118.51573333333332,1, anchorage
9779,9268796, 2019-04-18T07:59:11Z,-20.07955,118.51413333333332,1, anchorage
9780,9268796, 2019-04-18T15:59:12Z,-20.079216666666667,118.5147,1, anchorage
9781,9268796, 2019-04-18T23:59:11Z,-20.081116666666667,118.51581666666668,1, anchorage
9782,9268796, 2019-04-19T07:59:11Z,-20.0789,118.5114,1, anchorage
9783,9268796, 2019-04-19T15:32:12Z,-20.080716666666667,118.51565,1, anchorage
9784,9268796, 2019-04-19T23:53:13Z,-20.0813,118.5141,1, anchorage
9785,9268796, 2019-04-20T07:59:42Z,-20.079283333333333,118.50925,1, anchorage
9786,9268796, 2019-04-20T15:53:45Z,-20.078533333333333,118.5097,1, anchorage
9787,9268796, 2019-04-20T23:59:43Z,-20.08025,118.50966666666666,1, anchorage
9788,9268796, 2019-04-21T07:59:42Z,-20.07825,118.5086,1, anchorage
9789,9268796, 2019-04-21T15:56:42Z,-20.07895,118.5082,1, anchorage
9790,9268796, 2019-04-21T23:59:43Z,-20.080316666666672,118.50948333333334,1, anchorage
9791,9268796, 2019-04-22T07:59:42Z,-20.0781,118.50881666666666,1, anchorage
9792,9268796, 2019-04-22T15:59:42Z,-20.07945,118.51375,1, anchorage
9793,9268796, 2019-04-22T23:59:42Z,-20.080283333333334,118.5094,1, anchorage
9794,9268796, 2019-04-23T07:59:42Z,-20.0782,118.50881666666666,1, anchorage
9795,9268796, 2019-04-23T15:59:42Z,-20.08025,118.51366666666668,1, anchorage
9796,9268796, 2019-04-23T23:59:42Z,-20.0792,118.50843333333331,1, anchorage
9797,9268796, 2019-04-24T07:59:41Z,-20.079416666666667,118.50826666666669,1, anchorage
9798,9268796, 2019-04-24T15:59:42Z,-20.080416666666668,118.5135,1, anchorage
9799,9268796, 2019-04-24T23:59:42Z,-20.07875,118.50826666666669,1, anchorage
9800,9268796, 2019-04-25T07:59:42Z,-20.07855,118.50873333333334,1, anchorage
9801,9268796, 2019-04-25T15:59:42Z,-20.07998333333333,118.51351666666666,1, anchorage
9802,9268796, 2019-04-25T23:59:42Z,-20.078983333333333,118.50813333333332,1, anchorage
9803,9268796, 2019-04-26T07:59:42Z,-20.0799,118.50816666666668,1, anchorage
9804,9268796, 2019-04-26T15:59:41Z,-20.079083333333333,118.5082,1, anchorage
9805,9268796, 2019-04-26T23:59:42Z,-20.0793,118.50803333333332,1, anchorage
9806,9268796, 2019-04-27T07:59:42Z,-20.08155,118.50833333333334,1, anchorage
9807,9268796, 2019-04-27T15:59:42Z,-20.081516666666666,118.50868333333334,1, anchorage
9808,9268796, 2019-04-27T23:59:42Z,-20.078883333333334,118.50803333333332,1, anchorage
9809,9268796, 2019-04-28T07:59:42Z,-20.08215,118.50911666666669,1, anchorage
9810,9268796, 2019-04-28T15:59:42Z,-20.0804,118.50815,1, anchorage
9811,9268796, 2019-04-28T23:59:42Z,-20.07815,118.50871666666669,1, anchorage
9812,9268796, 2019-04-29T07:53:42Z,-20.08185,118.51266666666666,1, anchorage
9813,9268796, 2019-04-29T15:59:42Z,-20.07903333333333,118.51295,1, anchorage
9814,9268796, 2019-04-29T23:58:09Z,-20.3271,118.56733333333334,5, moored
9815,9268796, 2019-04-30T07:58:09Z,-20.3271,118.56735,5, moored
9816,9268796, 2019-04-30T15:55:09Z,-20.327083333333334,118.56736666666669,5, moored
9817,9268796, 2019-04-30T23:58:09Z,-20.327083333333334,118.56735,5, moored
9818,9268796, 2019-05-01T07:58:09Z,-20.327083333333334,118.56735,5, moored
10018,9269063, 2019-06-09T23:59:17Z,-20.0809,118.61421666666666,1, anchorage
10019,9269063, 2019-06-10T07:59:16Z,-20.082816666666666,118.61911666666668,1, anchorage
10020,9269063, 2019-06-10T15:59:17Z,-20.082833333333333,118.61973333333331,1, anchorage
10021,9269063, 2019-06-10T23:59:16Z,-20.07945,118.6182,1, anchorage
10022,9269063, 2019-06-11T07:59:17Z,-20.081566666666667,118.61996666666668,1, anchorage
10023,9269063, 2019-06-11T15:59:15Z,-20.079633333333334,118.6158,1, anchorage
10024,9269063, 2019-06-11T23:59:15Z,-20.079866666666668,118.61493333333334,1, anchorage
10025,9269063, 2019-06-12T07:59:16Z,-20.083816666666667,118.61738333333334,1, anchorage
10026,9269063, 2019-06-12T15:58:24Z,-20.329566666666672,118.56538333333332,5, moored
10027,9269063, 2019-06-12T23:57:33Z,-20.32958333333333,118.5654,5, moored
10028,9269063, 2019-06-13T07:57:32Z,-20.329566666666672,118.5654,5, moored
10029,9269063, 2019-06-13T15:57:31Z,-20.329566666666672,118.56538333333332,5, moored
10030,9269063, 2019-06-13T23:57:32Z,-20.32958333333333,118.56533333333331,5, moored
10031,9269063, 2019-06-14T07:57:36Z,-20.32955,118.56541666666666,5, moored
10389,9271559, 2019-03-28T07:58:40Z,-20.120685,118.56964166666668,1, anchorage
10390,9271559, 2019-03-28T15:52:53Z,-20.12206,118.57052333333333,1, anchorage
10391,9271559, 2019-03-28T23:47:07Z,-20.12031333333333,118.569475,1, anchorage
10392,9271559, 2019-03-29T07:53:20Z,-20.121579999999998,118.57041833333334,1, anchorage
10393,9271559, 2019-03-29T15:59:34Z,-20.12109,118.57021999999999,1, anchorage
10394,9271559, 2019-03-29T23:59:48Z,-20.119956666666667,118.56416833333333,1, anchorage
10395,9271559, 2019-03-30T07:57:00Z,-20.120751666666667,118.56386166666668,1, anchorage
10396,9271559, 2019-03-30T15:57:14Z,-20.11962833333333,118.56651333333332,1, anchorage
10397,9271559, 2019-03-30T23:57:27Z,-20.120615,118.56343166666667,1, anchorage
10398,9271559, 2019-03-31T07:57:40Z,-20.12432833333333,118.56487833333334,1, anchorage
10399,9271559, 2019-03-31T15:51:53Z,-20.123571666666667,118.563925,1, anchorage
10400,9271559, 2019-03-31T23:58:07Z,-20.120131666666666,118.56759666666666,1, anchorage
10401,9271559, 2019-04-01T07:58:21Z,-20.123815,118.564375,1, anchorage
10402,9271559, 2019-04-01T15:58:34Z,-20.123479999999997,118.56782333333334,1, anchorage
10403,9271559, 2019-04-01T23:58:47Z,-20.122636666666665,118.56861,1, anchorage
10404,9271559, 2019-04-02T07:59:01Z,-20.12460833333333,118.56639666666666,1, anchorage
10405,9271559, 2019-04-02T15:59:15Z,-20.120895,118.56859333333334,1, anchorage
10406,9271559, 2019-04-02T23:59:27Z,-20.122139999999998,118.56924,1, anchorage
10407,9271559, 2019-04-03T07:59:41Z,-20.12447333333333,118.565345,1, anchorage
10408,9271559, 2019-04-03T13:29:50Z,-20.12350333333333,118.56901,1, anchorage
10409,9271559, 2019-04-03T23:00:07Z,-20.122065,118.56940833333331,1, anchorage
10410,9271559, 2019-04-04T07:57:21Z,-20.122410000000002,118.56405166666669,1, anchorage
10411,9271559, 2019-04-04T15:30:34Z,-20.121431666666666,118.56931833333331,1, anchorage
10412,9271559, 2019-04-04T23:57:49Z,-20.123328333333333,118.56901666666668,1, anchorage
10413,9271559, 2019-04-05T07:58:02Z,-20.121441666666666,118.56405500000001,1, anchorage
10414,9271559, 2019-04-05T15:58:15Z,-20.12065,118.568835,1, anchorage
