,Imo,RecievedTime,Latitude,Longitude,NavStatus,FullWaitTime,UnderwayCount,WaitingCount,MooredCount,OtherCount,FinishedCount
0,9220201,2019-06-21 23:59:11+00:00,-20.081883333333334,118.61506666666666,1,0 days 16:00:13.000000000,70,36,27,0,700
1,9220213,2019-05-24 07:57:46+00:00,-20.15035,118.53699333333331,1,0 days 08:02:04.000000000,53,33,30,0,454
2,9220225,2019-04-21 07:59:35+00:00,-20.10705,118.588475,1,12 days 23:58:57.000000000,29,39,21,0,198
3,9220237,2020-02-01 07:58:15+00:00,-20.121125,118.58431166666666,1,15 days 00:01:25.000000000,34,37,26,0,2433
4,9267089,2020-01-02 23:59:39+00:00,-20.095766666666666,118.6075,1,42 days 15:58:39.000000000,62,22,27,0,2224
5,9268473,2019-06-18 07:57:48+00:00,-20.085116666666668,118.52076666666666,1,5 days 08:02:00.000000000,69,34,31,0,666
6,9268796,2019-04-12 23:59:11+00:00,-20.082933333333333,118.51058333333332,1,16 days 23:58:58.000000000,22,26,19,0,128
7,9269063,2019-06-09 23:59:17+00:00,-20.0809,118.61421666666666,1,2 days 15:59:07.000000000,64,28,29,0,597
8,9271559,2019-03-28 07:58:40+00:00,-20.120685,118.56964166666668,1,9 days 00:00:33.000000000,2,26,13,0,5
9,9271559,2019-05-12 23:55:48+00:00,-20.081631666666667,118.57395,1,7 days 08:02:00.000000000,48,22,21,0,369
10,9271597,2019-06-14 07:51:11+00:00,-20.067921666666667,118.56631499999999,1,2 days 16:06:29.000000000,68,22,31,0,631
11,9271597,2019-10-03 23:58:14+00:00,-20.076905,118.512285,1,1 days 00:01:37.000000000,68,37,32,0,1507
12,9271638,2019-08-30 15:58:10+00:00,-20.106783333333333,118.63435,1,1 days 00:01:21.000000000,66,17,29,0,1246
13,9273985,2019-04-23 15:59:30+00:00,-20.12933333333333,118.53205,0,9 days 15:58:37.000000000,31,44,20,0,214
14,9273985,2019-07-13 23:59:55+00:00,-20.1051,118.56108333333331,1,1 days 23:59:24.000000000,69,16,26,0,878
15,9273985,2019-10-24 23:58:16+00:00,-20.104266666666668,118.5145,1,4 days 08:00:40.000000000,67,25,34,0,1658
16,9273985,2019-12-01 23:55:27+00:00,-20.08655,118.51926666666668,1,3 days 16:03:38.000000000,55,28,27,0,1954
17,9273985,2020-01-09 07:57:14+00:00,-20.07055,118.61073333333331,1,0 days 16:01:13.000000000,64,25,29,0,2261
18,9276731,2019-03-29 07:59:01+00:00,-20.081683333333334,118.51403333333332,1,3 days 23:59:12.000000000,1,39,10,0,12
19,9278636,2019-06-01 15:58:04+00:00,-20.099916666666665,118.52028333333334,1,2 days 16:00:16.000000000,58,24,33,0,523
20,9278636,2019-07-05 07:59:13+00:00,-20.149833333333333,118.53688333333334,1,0 days 07:59:09.000000000,74,20,29,0,811
21,9278636,2019-08-14 07:59:31+00:00,-20.066233333333333,118.58831666666669,1,6 days 16:00:04.000000000,59,28,24,0,1120
