imo,name,type,built,dwt,loa,beam,status,flagState,holdsTotal,hatchesToNo,shipBuilder,shipBuilderCountry,draughtMeters,lastHullSurveyDate,hullSurveyDueDate
1005813,CYAN,Yacht,1997,410,0,,Active,United States,0,0,,Unknown,,,
1209110,LOUISE,Tug,0,0,0,,Active,United States,0,0,,Unknown,,,
1225255,Safety Star,Fishing Vessel,0,0,0,,Active,United States,0,0,,Unknown,,,
1250092,THREE RIVERS,Local Vessel,0,0,0,,Active,United States,0,0,,Unknown,,,
1253551,KIMBERLY HIDALGO,Tug,0,0,0,,In Service,United States,0,0,,Unknown,,,
1276022,CHARLES BOSTON,Local Vessel,0,0,0,,Active,United States,0,0,,Unknown,,,
1343863,IOWA,Dredger,0,0,0,,Active,United States,0,0,,Unknown,,,
2201617,XINGTONGHAI,Cargo,2000,0,119,21,Active,China,,,,,,,
5016743,Andrew Wilson,Backhoe/Dipper/Grab Dredger,1961,351,40.24,9.35,In Service,Australia,,,Walkers Ltd.,Australia,,,
5069415,Chem Trader,Product Carrier,1931,625,44.4,7.98,In Service,Guyana,,,Ira S Bushey & Sons,United States,,,
5103974,Cedarglen,Bulk Carrier,1959,28591,222.51,23.09,In Service,Canada,6,17,Schlieker Werft,Germany,8.41,1/1/2013,4/1/2018
5141732,Magallanes,LPG Carrier,1961,735,85.04,9.5,In Service,Philippines,,,Meyer Werft,Germany,3.66,,
5190202,Tauma,Chemical Unknown Carrier,1954,234,30,6.05,In Service,Norway,,,Glommens,Norway,2.64,,
5216965,Cement Success,Bulk Carrier,1958,15931,157.81,19.3,In Service,Indonesia,5,5,Flensburger SB,Germany,9.45,5/1/2006,5/1/2011
5304011,S. T. Crapo,Cement Carrier,1927,9144,119.56,18.37,In Service,United States,5,,Great Lakes Eng,United States,6.65,,
5322465,WILLIAM C VESS,Port Tender,0,0,0,,In Service,United States,0,0,,Unknown,,,
5325625,Levant Orient,Cement Carrier,1962,14650,154.24,20.55,Idle,Panama,3,3,Namura Zosensho,Japan,8.46,4/12/2017,4/12/2022
5349774,Shinwa Maru,Chemical Unknown Carrier,1959,530,45.5,7.28,In Service,Japan,,,Tsuneishi Zosen,Japan,3.35,,
5359951,Palmarola,Chemical Unknown Carrier,1962,899,62.06,9.47,In Service,Italy,,,Soeviknes Verft,Norway,3.69,7/12/2019,7/14/2024
5373139,Miljotank,Chemical Unknown Carrier,1939,293,41.47,7.61,In Service,Norway,,,D. W. Kremer,Germany,3.2,,
5407784,Metaltanque II,LPG Carrier,1963,2759,108.5,15.6,Laid Up,Brazil,,,Fujinagata S.B.,Japan,6.45,,
6329044,PETERSBURG,Crude Oil Tanker,1638,50706,214.88,31.09,In Service,United States,,,,,,,
6408981,Alabama,Tug,1963,242,25.98,7.36,In Service,United States,,,Equitable SY,United States,2.43,,
6417035,Alexandros I,Chemical Unknown Carrier,1964,808,59.31,8.68,In Service,Greece,,,D. W. Kremer,Germany,3.58,,
6420056,CHESAPEAKE,Oil Products Tanker,1964,50826,224.44,31.22,In Service,United States,,,,,,,
6506733,Vassilios XV,Chemical Unknown Carrier,1965,858,61.71,8.61,In Service,Greece,,,D. W. Kremer,Germany,3.38,6/1/2009,6/1/2014
6512574,Petrolane No. 1,LPG Carrier,1965,1444,65.7,10.84,In Service,Thailand,,,Ichikawa Zosen.,Japan,3.48,,
6514900,Stephen B. Roman,Cement Carrier,1965,8377,148.93,17.2,In Service,Canada,6,,Davie Inc (Levis),Canada,7.8,3/1/2015,3/1/2020
6600618,Vastanvik,Cement Carrier,1966,3282,90.48,13.02,In Service,Sweden,2,,Wartsila Kon.,Finland,5.77,6/13/2015,5/28/2020
6710023,Sun Yang No. 7,Chemical Unknown Carrier,1966,870,54.86,8.53,In Service,South Korea,,,Taihei Kogyo,Japan,3.8,,
6728068,Oregon II,Oceanographic Survey,1967,387,51.82,10.36,Idle,United States,,,Ingalls SB,United States,4.3,,
6729426,Taisei Maru No. 31,Chemical Unknown Carrier,1967,784,53.29,8.61,In Service,Unknown,,,Taguma Zosen,Japan,3.78,,
