,Unnamed: 0,Imo,RecievedTime,FinishedRecievedTime,Latitude,Longitude,NavStatus,SailTime,name,type,built,dwt,loa,beam,status,flagState,holdsTotal,hatchesToNo,shipBuilder,shipBuilderCountry,draughtMeters,lastHullSurveyDate,hullSurveyDueDate
0,0,8800315,2020-01-08 15:22:37+00:00,2020-01-28 13:44:32+00:00,-34.70974666666667,18.163288333333334,0,478.3652777777778,Usolie,Bulk Carrier,1990,68788,225.0,32.21,In Service,Liberia,7.0,7.0,Hyundai HI (Ulsan),South Korea,13.2,6/16/2017,6/15/2022
1,1,9036806,2019-11-25 07:58:47+00:00,2019-12-13 13:53:46+00:00,-34.33482333333333,17.925753333333333,0,437.91638888888883,Shun Feng 9,Bulk Carrier,1994,73350,225.0,32.26,Idle,Panama,7.0,7.0,Oshima Shipbuilding,Japan,13.85,5/17/2020,6/29/2022
2,2,9104110,2019-04-09 02:17:18+00:00,2019-04-23 15:59:47+00:00,5.451716666666668,93.9397,0,349.70805555555563,Peter S.,Bulk Carrier,1995,71550,223.7,32.23,In Service,Liberia,7.0,7.0,Hitachi Zosen,Japan,13.46,7/29/2020,4/30/2025
3,3,9118678,2020-01-08 07:48:44+00:00,2020-01-25 15:12:16+00:00,-33.93748166666666,25.982735,0,415.3922222222222,Elefsis,Bulk Carrier,1997,72873,224.8,32.2,In Service,Malta,7.0,7.0,CSBC (Keelung),Taiwan,13.74,3/23/2020,3/22/2025
4,4,9146950,2019-04-02 07:56:41+00:00,2019-04-18 23:04:32+00:00,-34.53661666666667,18.181333333333328,0,399.13083333333327,He Yuan,Bulk Carrier,1997,72416,225.0,32.2,In Service,Panama,7.0,7.0,Sasebo HI,Japan,13.52,6/20/2017,5/27/2022
5,5,9147423,2019-09-08 15:59:52+00:00,2019-09-23 23:16:53+00:00,-33.97161166666667,27.105805,0,367.28361111111116,Minoan Flame,Bulk Carrier,1998,73937,225.0,32.26,In Service,Liberia,7.0,7.0,Tsuneishi Zosen,Japan,13.87,3/14/2018,3/19/2023
6,6,9149366,2019-10-12 15:59:24+00:00,2019-10-30 14:24:33+00:00,-34.78995,19.04025,0,430.41916666666674,Fortune Lady,Bulk Carrier,1998,74761,225.0,32.25,In Service,Hong Kong,7.0,7.0,NKK (Tsu),Japan,13.79,3/21/2018,3/30/2023
7,7,9153795,2019-12-22 07:08:57+00:00,2020-01-06 15:49:33+00:00,5.499033333333332,93.73027833333332,0,368.67666666666673,Ocean Emperor,Bulk Carrier,1998,74002,225.0,32.26,In Service,Liberia,7.0,7.0,Tsuneishi Zosen,Japan,13.87,6/28/2018,3/26/2023
8,8,9168465,2019-12-07 23:59:06+00:00,2019-12-26 05:39:17+00:00,-34.04784333333333,17.823293333333332,0,437.6697222222222,Iron Kovdor,Bulk Carrier,1998,72474,225.0,32.2,In Service,Liberia,7.0,7.0,Sasebo HI,Japan,13.52,05/05/2018,6/18/2023
9,9,9170298,2019-04-14 01:44:08+00:00,2019-04-29 23:55:47+00:00,4.646341666666666,93.25027333333334,0,382.19416666666666,Captain Stefanos M,Bulk Carrier,1998,70529,225.0,32.25,In Service,Liberia,7.0,7.0,Sanoyas,Japan,13.29,10/10/2018,07/02/2023
10,10,9171151,2019-06-09 14:06:16+00:00,2019-06-22 15:34:59+00:00,2.5178866666666666,90.163195,0,313.4786111111111,S'hail al Mafyar,Bulk Carrier,1999,75522,225.03,32.26,In Service,Qatar,7.0,7.0,Mitsui SB (Chiba),Japan,13.93,3/24/2019,3/24/2024
11,11,9171151,2019-08-05 23:51:39+00:00,2019-08-24 12:25:20+00:00,-35.75560833333333,20.47839,0,444.56138888888887,S'hail al Mafyar,Bulk Carrier,1999,75522,225.03,32.26,In Service,Qatar,7.0,7.0,Mitsui SB (Chiba),Japan,13.93,3/24/2019,3/24/2024
12,12,9171266,2019-07-25 07:29:03+00:00,2019-08-06 15:58:38+00:00,2.4686216666666665,89.896845,0,296.4930555555556,Siana,Bulk Carrier,1999,73127,225.0,32.25,In Service,Liberia,7.0,7.0,Hyundai HI (Ulsan),South Korea,13.85,6/20/2019,6/30/2024
